System Name,Manufacturer,Physical Qubits,Processor Type,Technology,Year of Intro,Topology, EPLG , EPLG1 ,CLOPS,Median CZ Error,Median ECR Error,Median CNOT error,Median SX Error,Min Single-Qubit Gate Error,Max Single-Qubit Gate Error,Typical Single-Qubit Gate Error,Median Single-Qubit Gate Error,Min Two-Qubit Gate Error,Max Two-Qubit Gate Error,Typical Two-Qubit Gate Error,Median Two-Qubit Gate Error,Median Readout Error,SPAM Error,Memory Error Per Qubit at Average Depth-1 Circuit,Mid-Circuit Measurement Cross-Talk Error,Min T1,Max T1,Median T1,Mean T1,Min T2,Max T2,Median T2,Mean T2,Two Qubit Gates,One Qubit Gates,Notes,url,,,,,,,,,,,,,,,
ibm_torino,IBM,133,Heron r1,superconducting,2023,heavy-hex lattice, 0.0080 , 0.0080 ,3800,0.004022,,,0.000298,,,,,,,,,0.017400,,,,,,170.26,,,,131.59,,CZ,"ID, RZ, SX, X",,https://quantum.ibm.com/services/resources?system=ibm_torino,,,,,,,,,,,,,,,
ibm_sherbrooke,IBM,127,Eagle r3,superconducting,2022,heavy-hex lattice, 0.0170 , 0.0170 ,5000,,0.007390,,0.000216,,,,,,,,,0.012500,,,,,,267.28,,,,180.36,,ECR,"ID, RZ, SX, X",,https://quantum.ibm.com/services/resources?system=ibm_sherbrooke,,,,,,,,,,,,,,,
ibm_brisbane,IBM,127,Eagle r3,superconducting,,heavy-hex lattice, 0.0190 , 0.0190 ,5000,,0.007390,,0.000241,,,,,,,,,0.013200,,,,,,221.56,,,,138.88,,ECR,"ID, RZ, SX, X",,https://quantum.ibm.com/services/resources?system=ibm_brisbane,,,,,,,,,,,,,,,
ibm_kyiv,IBM,127,Eagle r3,superconducting,,heavy-hex lattice, 0.0210 , 0.0210 ,5000,,,0.011320,0.000270,,,,,,,,,0.008100,,,,,,260.67,,,,117.95,,CX,"ID, RZ, SX, X",,https://quantum.ibm.com/services/resources?system=ibm_kyiv,,,,,,,,,,,,,,,
ibm_quebec,IBM,127,Eagle r3,superconducting,,heavy-hex lattice, 0.0230 , 0.0230 ,5000,,1.000000,,0.000208,,,,,,,,,0.014600,,,,,,304.37,,,,162.02,,ECR,"ID, RZ, SX, X",,https://quantum.ibm.com/services/resources?system=ibm_quebec,,,,,,,,,,,,,,,
ibm_kawasaki,IBM,127,Eagle r3,superconducting,,heavy-hex lattice, 0.0240 , 0.0240 ,5000,,0.007792,,0.000217,,,,,,,,,0.012000,,,,,,203.32,,,,146.65,,ECR,"ID, RZ, SX, X",,https://quantum.ibm.com/services/resources?system=ibm_kawasaki,,,,,,,,,,,,,,,
ibm_osaka,IBM,127,Eagle r3,superconducting,,heavy-hex lattice, 0.0280 , 0.0280 ,5000,,0.006950,,0.000276,,,,,,,,,0.024300,,,,,,271.29,,,,146.31,,ECR,"ID, RZ, SX, X",,https://quantum.ibm.com/services/resources?system=ibm_osaka,,,,,,,,,,,,,,,
ibm_cleveland,IBM,127,Eagle r3,superconducting,,heavy-hex lattice, 0.0290 , 0.0290 ,5000,,1.000000,,0.000250,,,,,,,,,0.012700,,,,,,202.68,,,,176.54,,ECR,"ID, RZ, SX, X",,https://quantum.ibm.com/services/resources?system=ibm_cleveland,,,,,,,,,,,,,,,
ibm_nazca,IBM,127,Eagle r3,superconducting,,heavy-hex lattice, 0.0320 , 0.0320 ,5000,,0.011190,,0.000322,,,,,,,,,0.023700,,,,,,191.18,,,,110.77,,ECR,"ID, RZ, SX, X",,https://quantum.ibm.com/services/resources?system=ibm_nazca,,,,,,,,,,,,,,,
ibm_kyoto,IBM,127,Eagle r3,superconducting,,heavy-hex lattice, 0.0360 , 0.0360 ,5000,,0.008913,,0.000271,,,,,,,,,0.014000,,,,,,218.14,,,,107.51,,ECR,"ID, RZ, SX, X",,https://quantum.ibm.com/services/resources?system=ibm_kyoto,,,,,,,,,,,,,,,
